Company Name,Website,Phone,Email,Address,Owner,Employees,Annual Revenue
Solaray Energy,https://solaray.com.au,(02) 9555-0123,info@solaray.com.au,"Unit 5, 123 Pacific Hwy, Parramatta NSW 2150",John Smith,15-25,$2M-$5M
SunPower Direct,https://sunpowerdirect.com.au,1300 786 769,sales@sunpowerdirect.com.au,"Level 2, 45 Market St, Sydney NSW 2000",Sarah Johnson,25-50,$5M-$10M
Green Energy Solutions,https://greenenergysolutions.com.au,(02) 9876-5432,contact@greenenergysolutions.com.au,"10 Industrial Ave, Ryde NSW 2112",Michael Chen,10-20,$1M-$3M
Solar Masters,https://solar masters.com.au,(02) 9123-4567,info@solar masters.com.au,"Suite 3, 789 Victoria Rd, West Ryde NSW 2114",Emma Wilson,5-10,$500K-$1M
EcoSolar Australia,https://ecosolar.com.au,1800 326 765,support@ecosolar.com.au,"15 Energy Lane, Chatswood NSW 2067",David Lee,50-100,$10M-$20M
Solar Tech NSW,https://solartechnsw.com.au,(02) 9654-3210,hello@solartechnsw.com.au,"Unit 12, 456 Pennant St, Castle Hill NSW 2154",Lisa Brown,10-15,$2M-$4M
Renewable Power Co,https://renewablepowerco.com.au,(02) 9321-6547,info@renewablepowerco.com.au,"Level 5, 100 George St, Sydney NSW 2000",James Taylor,100+,$20M+
Solar Solutions Plus,https://solarsolutionsplus.com.au,(02) 9789-0123,sales@solarsolutionsplus.com.au,"8 Solar Court, Epping NSW 2121",Rachel Green,5-10,$1M-$2M
Clean Energy Experts,https://cleanenergyexperts.com.au,1300 456 789,contact@cleanenergyexperts.com.au,"Suite 20, 500 Miller St, North Sydney NSW 2060",Tom Anderson,20-30,$5M-$8M
Solar Install Pros,https://solarinstallpros.com.au,(02) 9456-7890,info@solarinstallpros.com.au,"Unit 7, 89 Pitt St, Sydney NSW 2000",Nina Patel,10-20,$2M-$5M
