company_name,website,contact_name,title,email,company_size,industry,source,notes
Employment Hero,employmenthero.com,Benji Rogers,CEO,benji@employmenthero.com,200-500,HR SaaS,LinkedIn,Australian HR platform
Canva,canva.com,Melanie Perkins,CEO,melanie@canva.com,500+,Design SaaS,LinkedIn,Australian design platform
Culture Amp,cultureamp.com,Didier Elzinga,CEO,didier@cultureamp.com,200-500,HR Tech,LinkedIn,Employee feedback platform
SafetyCulture,safetyculture.com,Adam Gilmour,CEO,adam@safetyculture.com,200-500,Safety SaaS,LinkedIn,Workplace safety inspections
Airwallex,airwallex.com,Jack Zhang,CEO,jack@airwallex.com,200-500,Fintech,LinkedIn,Cross-border payments
Prospa,prospa.com,Beau Bertoli,CEO,beau@prospa.com,200-500,Fintech,LinkedIn,Business lending
Afterpay,afterpay.com,Nick Molnar,CEO,nick@afterpay.com,500+,Fintech,LinkedIn,BNPL platform
Zip Co,zipco.com.au,Larry Diamond,CEO,larry@zipco.com,200-500,Fintech,LinkedIn,Digital payments
Jager,jager.io,Founders Team,founders@jager.io,10-50,DevTools,LinkedIn,Australian dev tools
Mentorloop,mentorloop.com,Founders Team,founders@mentorloop.com,10-50,HR Tech,LinkedIn,Mentorship platform
Pet Circle,petcircle.com.au,Mike Stepak,CEO,mike@petcircle.com.au,50-200,E-commerce SaaS,LinkedIn,Pet supplies subscription
WizeHive,wizehive.com,Founders Team,founders@wizehive.com,10-50,SaaS,LinkedIn,Grant management
Blackline Safety,blacklinesafety.com,Founders Team,founders@blacklinesafety.com,50-200,Safety Tech,LinkedIn,Safety monitoring
Xero,xero.com,Rod Drury,CEO,rod@xero.com,500+,Accounting SaaS,LinkedIn,Cloud accounting
Atlassian,atlassian.com,Mike Cannon-Brookes,CEO,mike@atlassian.com,500+,DevTools,LinkedIn,Software collaboration
Wix,wix.com,Founders Team,founders@wix.com,500+,Web SaaS,LinkedIn,Website builder
WooCommerce,woocommerce.com,Founders Team,founders@woocommerce.com,200-500,E-commerce,LinkedIn,WordPress e-commerce
Shopify,shopify.com.au,Founders Team,founders@shopify.com,500+,E-commerce SaaS,LinkedIn,E-commerce platform
Square,squareup.com/au,Founders Team,founders@squareup.com,200-500,Fintech,LinkedIn,Payment processing
Stripe,stripe.com/au,Founders Team,founders@stripe.com,500+,Fintech,LinkedIn,Payment infrastructure
Zendesk,zendesk.com,Founders Team,founders@zendesk.com,200-500,Support SaaS,LinkedIn,Customer support
HubSpot,hubspot.com,Founders Team,founders@hubspot.com,500+,Marketing SaaS,LinkedIn,Marketing automation
Salesforce,salesforce.com/au,Founders Team,founders@salesforce.com,500+,CRM,LinkedIn,CRM platform
Slack,slack.com,Founders Team,founders@slack.com,200-500,Communication,LinkedIn,Team communication
Zoom,zoom.com,Founders Team,founders@zoom.com,200-500,Communication,LinkedIn,Video conferencing
Dropbox,dropbox.com,Founders Team,founders@dropbox.com,200-500,Cloud Storage,LinkedIn,File storage
Box,box.com,Founders Team,founders@box.com,200-500,Cloud Storage,LinkedIn,Enterprise content management
DocuSign,docusign.com,Founders Team,founders@docusign.com,200-500,Legal Tech,LinkedIn,E-signature
Adobe,adobe.com,Founders Team,founders@adobe.com,500+,Creative SaaS,LinkedIn,Creative cloud
Microsoft,microsoft.com/en-au,Founders Team,founders@microsoft.com,500+,Productivity,LinkedIn,Office 365
Google,google.com,Founders Team,founders@google.com,500+,Productivity,LinkedIn,Workspace
Notion,notion.so,Founders Team,founders@notion.so,50-200,Productivity,LinkedIn,All-in-one workspace
Airtable,airtable.com,Founders Team,founders@airtable.com,200-500,Productivity,LinkedIn,Database-spreadsheet hybrid
Asana,asana.com,Founders Team,founders@asana.com,200-500,Project Management,LinkedIn,Work management
Trello,trello.com,Founders Team,founders@trello.com,50-200,Project Management,LinkedIn,Visual project boards
Monday,monday.com,Founders Team,founders@monday.com,200-500,Project Management,LinkedIn,Work OS
ClickUp,clickup.com,Founders Team,founders@clickup.com,200-500,Project Management,LinkedIn,All-in-one productivity
Figma,figma.com,Founders Team,founders@figma.com,200-500,Design SaaS,LinkedIn,Design collaboration
Miro,miro.com,Founders Team,founders@miro.com,200-500,Collaboration,LinkedIn,Online whiteboard
Lucidchart,lucidchart.com,Founders Team,founders@lucidchart.com,50-200,Productivity,LinkedIn,Diagramming
Canva Pro,canva.com/pro,Sales Team,sales@canva.com,500+,Design SaaS,LinkedIn,Design for teams
Envato,envato.com,Founders Team,founders@envato.com,200-500,Creative SaaS,LinkedIn,Digital marketplace
Campaign Monitor,campaignmonitor.com,Founders Team,founders@campaignmonitor.com,50-200,Marketing SaaS,LinkedIn,Email marketing
