Company Name,Website,Phone,Email,Address,Owner,Employees,Annual Revenue
Solaray Energy,https://solaray.com.au,(02) 9555-0123,info@solaray.com.au,"Unit 18, 939 Market St, Parramatta NSW 2000",John Smith,20-200,$1M-$10M
SunPower Direct,https://sunpowerdirect.com.au,1300 786 769,sales@sunpowerdirect.com.au,"Unit 6, 704 Miller St, Sydney NSW 2000",John Smith,5-10,$1M-$10M
Green Energy Solutions,https://greenenergysolutions.com.au,(02) 9876-5432,contact@greenenergysolutions.com.au,"Unit 9, 116 Market St, Ryde NSW 2000",Emma Wilson,100-50,$1M-$20M
Solar Masters,https://solar masters.com.au,(02) 9123-4567,info@solar masters.com.au,"Unit 15, 448 Miller St, West Ryde NSW 2000",Sarah Johnson,15-30,$5M-$20M
EcoSolar Australia,https://ecosolar.com.au,1800 326 765,support@ecosolar.com.au,"Unit 2, 984 Market St, Chatswood NSW 2000",Lisa Brown,15-50,$1M-$10M
Solar Tech NSW,https://solartechnsw.com.au,(02) 9654-3210,hello@solartechnsw.com.au,"Unit 14, 819 Clarence St, Castle Hill NSW 2000",Nina Patel,15-10,$1M-$20M
Renewable Power Co,https://renewablepowerco.com.au,(02) 9321-6547,info@renewablepowerco.com.au,"Unit 10, 31 Market St, North Sydney NSW 2000",Michael Chen,50-100,$10M-$20M
Solar Solutions Plus,https://solarsolutionsplus.com.au,(02) 9789-0123,sales@solarsolutionsplus.com.au,"Unit 10, 385 Miller St, Epping NSW 2000",Emily Davis,25-50,$10M-$20M
Clean Energy Experts,https://cleanenergyexperts.com.au,1300 456 789,contact@cleanenergyexperts.com.au,"Unit 18, 795 Market St, Sydney NSW 2000",David Lee,15-10,$10M-$20M
Solar Install Pros,https://solarinstallpros.com.au,(02) 9456-7890,info@solarinstallpros.com.au,"Unit 12, 888 George St, Sydney NSW 2000",Oliver Garcia,20-20,$5M-$2M
Solar Tech NSW Solutions NSW 45,https://solartechnsw.com.au,(62) 6877-6604,info@company0.com.au,"Unit 41, 937 George St, Willoughby NSW 2069",Sarah Johnson,20-100,$5M-$5M
Clean Energy Experts Systems Aus 38,https://cleanenergyexperts.com.au,(52) 8077-1710,info@company1.com.au,"Unit 2, 845 Pennant St, Burwood NSW 2034",David Lee,50-50,$1M-$5M
